N,P,K,temperature,humidity,ph,rainfall,label
60,45,43,21.13473521240589,93.87040427417844,6.316009030071472,225.79416277151557,rice
75,60,43,25.166358912710145,83.91243762245614,6.494380549636887,296.54193512887935,rice
64,39,45,21.887071083413794,84.18307028888273,6.050536744959157,284.6661142238306,rice
79,58,40,27.798755458576238,89.63047469231432,5.1262099474925735,216.1628714094614,rice
97,42,38,25.806866214364547,85.58424149842615,6.4102001636866675,297.3663836755317,rice
77,48,36,24.856137535862267,86.72636214479371,6.491686193916231,217.59252526773454,rice
63,35,39,21.788227092213287,85.4970317687429,6.116255784584844,272.09399242521295,rice
92,50,45,23.677158030594335,83.97803551522588,5.3659844650686255,297.30105547524454,rice
67,36,39,25.026370931051922,88.65355826939539,5.738776540728296,219.52429877980444,rice
78,38,37,27.68554014306309,80.6540565763165,6.491825766196012,246.9944513990943,rice
65,37,43,29.53071847023953,84.9612545700577,5.8291474502532346,257.22924691708386,rice
92,54,39,21.90911031150346,84.02712285335235,5.727919811414473,237.26868670940493,rice
90,56,44,29.30016834810832,81.05624196274316,5.3133780764230405,267.1143516824051,rice
82,36,45,22.952905884189388,84.838261463579,6.273004692387012,213.66213314420287,rice
98,44,41,24.197808564462765,83.84310415391687,5.917270566298521,208.15941804002404,rice
66,59,38,27.98295178966775,89.74945896166648,6.052950315886555,279.5792669436101,rice
71,53,41,20.276167718737046,88.68297343261338,5.65771118452713,267.2026135295199,rice
84,60,40,25.908332605690106,80.45750374908575,5.056022283123822,282.26005606596584,rice
96,35,42,27.69993553098611,83.23731541245265,5.9343357137285,208.5347464993768,rice
91,54,37,26.374299014982064,90.89137000583992,6.463778119193802,251.63003483011954,rice
89,53,35,23.988209014447946,86.50281106371114,6.116063964498673,225.0860527346661,rice
85,55,41,24.283144749401078,90.3274985114805,5.087290393262665,291.52137276264807,rice
93,56,43,26.601973767177313,84.19900845418914,6.432297920994792,273.7896916695769,rice
64,56,41,20.477161276916487,88.49055815741114,5.237969671463737,212.0164647805642,rice
88,48,39,20.941569882685602,84.67119964086942,6.469265792932263,217.53302698893384,rice
75,60,44,24.916158751168325,87.10207656170849,5.259802804865023,243.3851649237973,rice
82,60,44,29.49145731591386,93.30020580947071,5.391340435012571,201.53045402903848,rice
78,60,35,25.393774484000623,90.25945654097211,5.9237767465848705,294.38916045607573,rice
61,51,45,28.009492946823997,90.15752513574472,5.8600505625079,212.850035323391,rice
96,46,37,28.20426843771268,89.77227157786682,5.310026539815118,227.39611273211338,rice
71,48,36,20.389631323102336,89.2738082650684,5.504831322333089,265.5722635380742,rice
88,60,44,20.23271935735826,92.21702723883404,5.4227821621601,211.81648276216563,rice
70,58,38,24.179460317155787,94.51370827280371,5.821957824872131,242.34709423081185,rice
83,37,35,27.316477552996403,81.91534594133698,5.375024673824157,258.054401234391,rice
82,39,35,26.79844779900246,91.09863140671062,5.357354228605969,237.7728886176295,rice
79,50,43,23.200496010306118,93.432848427443,5.583802518101245,201.08376514802984,rice
100,53,43,23.19313637590415,94.25092950576207,6.425910720406334,257.3437888123286,rice
75,55,39,22.932107716980646,84.92996818054874,6.008777684115557,275.237452943768,rice
82,50,43,21.13464602017448,93.96393658530938,6.461372312801615,299.5931242030329,rice
64,37,41,25.45915770164989,90.58747225818041,6.452977915961203,268.8030010175039,rice
76,40,41,24.26091475046941,83.33864626356547,5.594977402931378,289.18969087767766,rice
61,39,39,22.33228072424528,88.71958125840173,6.294707782983506,288.03599686384166,rice
76,41,43,25.918887388212845,85.2532737005047,6.0622717933748,248.16669879641154,rice
98,44,44,23.302525290190985,86.51677766732406,5.380523260809708,240.52020867814173,rice
79,42,43,27.44211656943298,90.21559140645364,5.356259706938705,240.02228928720248,rice
84,58,35,22.235958385194525,94.44833809160917,5.018231712034725,296.9878826707639,rice
80,50,40,29.24643330223596,93.7867357291799,5.379485251983862,269.54111231066474,rice
77,49,43,22.168091065864914,84.41740920259144,6.493747062544056,269.69250558638146,rice
62,50,41,20.45446380341458,84.21444784388345,6.425617226114838,289.02637838909163,rice
71,58,39,22.773811829811326,82.82181739585641,5.695547607409973,235.33522280260527,rice
87,39,43,22.599498628542626,86.79861270243246,5.048473926664475,227.97635071689456,rice
79,47,37,28.22537242923169,94.24699869937886,6.08857926258254,261.341519593579,rice
61,44,42,28.766614859257928,88.27381808816105,5.247251391705501,241.1255116585369,rice
60,52,35,23.767389699379407,91.24367449964109,5.589484173468289,282.91642207065144,rice
72,35,36,20.368218676359913,82.0077817820095,5.020507947240496,207.53590603524623,rice
87,51,39,29.997176732861305,94.94955255610859,5.833147558403941,276.89874151805105,rice
96,44,44,23.778505492757866,83.61627248494447,5.307567992759787,225.14424395117985,rice
72,38,35,26.717006844058567,89.27192360686844,5.537244077049261,211.3557592199629,rice
85,60,36,24.76210696789014,92.47057235093752,5.461665859656574,281.6385735213062,rice
64,59,35,21.340152284506406,80.43174014470009,6.132705883510429,262.03095513534646,rice
61,45,37,29.031510586766263,89.25895568145938,6.470694087638567,260.8087849541885,rice
77,49,45,20.910020910513303,90.89595548975342,5.821169460348667,245.09104474161043,rice
74,57,44,28.62363708746745,94.24280935486463,5.220610221393557,292.6587625161494,rice
69,51,38,24.591357562382612,94.70048862928215,5.738927140989304,232.87516102875082,rice
70,53,43,24.60119158983572,88.7714915892373,5.600450733365422,269.7667573696932,rice
63,42,38,23.45667283323863,93.45182614859017,5.710942460394309,266.7557738521027,rice
78,55,39,23.450826278223868,85.21428821724025,5.047707022227748,254.87153092074087,rice
64,43,44,28.942172628959256,81.93122597449465,5.495149269965233,232.1582764680029,rice
85,59,43,26.87784717096083,87.67485520320892,5.23546652407429,237.72859652420726,rice
76,60,38,28.062012797930613,91.22389535575488,5.276781529034566,220.93493233367104,rice
81,48,44,27.599554089375857,87.96898630960301,6.080774092087197,206.23413625112414,rice
66,37,41,25.116774421156663,87.98170227897974,5.160758017009664,244.74123668234546,rice
94,53,23,26.848862473125827,58.64567756951916,6.627930184037673,102.03549929389655,maize
81,60,23,28.68632736887874,66.87184907108097,6.85820463828898,99.45856193036691,maize
77,49,18,24.44527850182257,66.73682236041758,6.99087894836866,81.58297731148397,maize
78,44,23,22.049362006463017,72.99294794290024,6.715110444587146,72.21765777323273,maize
65,39,23,20.846721500831933,57.03564945240807,5.805718278368664,72.2978864192254,maize
63,45,22,28.761185095517103,56.60467491323284,6.549022779140509,80.51984134948307,maize
95,58,20,22.774267188548897,74.38940866550737,7.23101425178796,100.85360354746399,maize
89,58,20,26.023718639093172,73.58751978255171,6.61352578602786,88.580634473495,maize
64,40,24,21.884150836850925,63.50872877232834,6.51522075736891,72.12048662075401,maize
60,60,20,24.974858657071348,58.087254305484045,6.462280203709635,86.62947162757929,maize
92,40,16,23.451215666629196,65.97206235876307,6.597843959777954,70.08652311651178,maize
99,36,18,21.055687857165168,68.63005444447859,7.020455719779373,89.78193703039221,maize
83,40,21,27.53147339959755,57.13398500226872,7.201454920032909,97.2987262774359,maize
73,55,22,29.891153717488688,59.100036201064746,6.258457169927601,106.32247117948556,maize
81,42,25,27.543207742318682,59.03254640095489,5.827311885731409,68.21328989654964,maize
64,53,25,25.605102764642126,73.15732260925031,6.132393164592989,89.41533378975284,maize
77,42,22,23.269618902842623,62.53888858849815,6.425359571339213,75.0688937082071,maize
82,49,15,20.78655234176181,72.99149146549136,6.267782442746423,87.17764305569943,maize
99,42,17,24.514191727360906,63.63056286272885,6.165631571824969,96.52745684046508,maize
74,49,15,24.401533103715856,72.87785166101915,7.077194422449061,67.58374398663756,maize
92,39,25,26.927355510872125,55.67064869471559,6.639779369742633,98.12293428703452,maize
69,35,20,27.855087656064153,57.212634739104146,7.192904583469036,66.37443311659912,maize
74,42,19,23.836289783947294,63.179103541709864,7.04376396119649,60.61015361590223,maize
95,38,24,21.021588706883435,61.91391987007839,5.863195433602852,105.42252806668142,maize
97,40,22,23.083162349045793,60.75859232951452,6.729900526305309,105.59262044214825,maize
99,52,23,21.072186382243945,69.52191172124802,6.685925810517643,65.11063321125998,maize
63,39,22,18.27627125745165,68.02734421976493,7.042493337039476,78.7217684860211,maize
68,56,17,26.83733082749667,73.6873402953803,7.351137025813553,82.5419685702066,maize
96,55,24,28.06677703735121,57.49325362406534,7.341683765234745,103.49481810310641,maize
99,49,19,22.551668380626587,69.88499303686578,5.911159616751275,99.38949443572463,maize
85,43,17,22.77802432309132,65.74791205875846,7.339711232825521,77.31729971829806,maize
77,36,25,23.426615290677688,59.49209645879964,6.404879032265387,67.04285101898999,maize
83,59,21,19.986159809135685,55.6775832049319,6.122946342265514,99.02478537730438,maize
81,60,16,25.962448464200527,58.56071933739503,7.42214063493891,67.43313638765565,maize
81,42,15,21.595150941197723,61.19873852537222,6.294636230915196,81.33944526683747,maize
78,51,22,25.049443250808892,60.88089358441943,6.928118399579656,86.38238650723929,maize
87,51,16,23.96414338585499,70.30712562132481,5.7059629586626315,76.71814056552411,maize
98,37,24,21.248936077722647,67.87999086478031,6.317468342196193,61.26931778301724,maize
87,52,21,25.907087302921816,55.54191985006967,5.943944323865899,71.55373982940357,maize
67,56,23,27.598993024478272,58.57089324108667,6.805492215703749,71.90913905233633,maize
93,37,22,26.66720318226791,72.11392936212572,7.160439729133984,79.85917648092274,maize
96,56,19,22.876707699282264,61.47980122213599,5.673850029900699,91.66203874554803,maize
92,57,19,18.318386446485835,58.628708701795944,6.666083121939384,81.0712275296249,maize
61,35,19,22.10180822037451,60.18846866862585,6.259384816334534,89.51474712574039,maize
71,54,19,22.142305738575306,70.4766904640268,6.225515789331891,103.05340099873608,maize
94,54,24,27.16326952991713,57.80226351532905,7.236935951795825,84.37155991247567,maize
82,51,16,18.26963169984141,60.37354718769892,6.583268429321734,91.67391099130737,maize
98,43,20,25.740650013231953,63.434078691065636,5.764552422250661,105.02861506181928,maize
93,57,19,18.2206881185696,73.28597613120998,5.735502165780282,88.82582377571268,maize
97,36,15,22.862977056332266,64.94929787959781,6.940405163264591,65.32893650643372,maize
81,55,25,28.800223702177263,72.47780155125031,6.694826204340616,90.02584302168268,maize
66,44,15,23.02524629870488,62.66277056498995,6.537835410565675,62.348298338752755,maize
60,53,19,25.23782531359666,59.90698219362642,6.278591228083953,74.43468683853499,maize
95,51,25,21.5654605874781,66.32809280593794,6.452100804398199,93.1835582681324,maize
81,39,22,20.57928454308908,55.62366270122569,6.02452808859965,89.75389653501274,maize
76,47,25,22.01092668980353,70.41824407491644,5.713196506267543,63.75688908679044,maize
76,35,23,26.459106596267436,66.96572116536309,6.419363025522262,63.79667051848111,maize
96,46,17,21.26574164675955,66.80461333738174,6.221947793880053,64.5791036663317,maize
76,44,23,23.352069275495467,58.70265857677239,6.583801894756716,103.64729179382041,maize
67,55,15,25.905400400528606,68.84553129035704,7.198391303130639,72.4834004429593,maize
84,46,25,29.852016095959762,73.88118679373227,5.578853622737012,95.27875862578442,maize
66,51,21,24.669678977246157,64.46420236162666,6.125709713011175,66.02612893932323,maize
66,43,17,29.092754344518365,74.42116490330736,7.388532978226868,83.71071083287319,maize
89,54,21,23.461724220433872,65.44869152142338,6.789093301251644,92.50836752216141,maize
83,37,16,28.61998027827937,65.605302652698,6.382064323496323,80.22427248409254,maize
98,49,22,24.473895508504047,70.81446329677927,6.13750500586414,91.29456882185045,maize
75,47,24,28.519984534349394,63.35012168055784,6.423885701151175,109.51706566708886,maize
72,47,16,29.268812382154756,70.9756647154733,7.495868221066675,77.53559077258551,maize
88,55,23,24.96908648672793,60.43373942138008,6.296574767951271,64.58496675557151,maize
98,54,19,26.787261686215743,55.066927240859584,6.434621533075305,74.85014382274412,maize
63,52,19,18.50511827563634,55.35747869466827,7.475444779472063,81.38865668679311,maize
83,38,25,29.399534207402702,70.72690028831104,5.678822004624519,80.87903878924642,maize
83,45,16,20.004407353104902,74.82337252273953,5.963343402766887,107.13658870675629,maize
69,45,16,22.609087337894994,55.73463874853227,7.414540525966651,101.3102847896983,maize
64,39,20,29.629231561689735,72.67571769926852,7.355504566390426,109.74539113232177,maize
94,52,16,26.352247416645508,58.0779181267971,7.131666249981236,71.22202859183304,maize
84,43,18,24.961034494053735,56.829736747955096,7.254921725260761,73.2800021294353,maize
87,43,17,29.46781797875704,72.24255234530901,7.119032149449756,92.7620990319511,maize
64,45,25,21.376691526930323,60.052981879217704,5.510164279636052,94.7857146424875,maize
85,52,20,29.5454636711046,57.18937720108908,7.288959861936135,109.5737667572524,maize
99,47,17,27.89617159110179,61.95618415804386,6.856032305118127,88.28659819978955,maize
92,40,22,27.569112259283138,68.16903669316851,7.201163458188484,103.36471004799012,maize
100,47,25,20.86428037561221,73.60180701019478,5.7116681876571676,94.94953690197939,maize
66,39,25,29.535783458218887,64.30940017539967,7.258142960456263,60.25725853773574,maize
91,45,19,26.922099075499293,58.21519792096616,7.135934048238124,101.6067088978871,maize
88,46,21,20.317594375047516,56.68196448935969,6.152867153006586,87.99221561544147,maize
99,36,22,27.824153045998102,57.56897436186383,6.066685896531164,60.92138593691087,maize
100,36,19,19.230116735888153,73.74456974472902,6.875771444601627,63.39185295525859,maize
86,51,20,26.50286405523155,64.47147776870177,5.615840921117597,63.7347208878927,maize
77,52,18,25.77088372082289,66.88791718457091,6.267224520811244,63.28130722870065,maize
92,40,17,21.030104996260587,55.02058959691267,5.8178765665535135,83.42697083842921,maize
63,51,17,23.416644291956104,58.27247642383338,7.089619097499859,94.68411128907442,maize
91,36,18,25.85413457137362,60.46519053996418,7.4017271245008205,67.55289458904501,maize
87,55,19,25.662311371969025,62.951887959255885,6.04843040469734,109.19888239799141,maize
60,60,20,20.759455270693035,59.26209408050167,5.562268165769023,92.58334126879424,maize
71,52,25,29.61832113497666,58.710510314062425,7.237246335911221,98.82984263958708,maize
74,48,16,27.132287891315986,67.52440643262831,5.762489755364776,61.6263089745626,maize
62,54,23,18.01478202199711,66.96654530244854,6.714612896525343,72.37699778016875,maize
68,40,23,19.92990562893828,68.03038933604529,6.15185092790415,89.51319694428112,maize
67,45,15,18.139446478897206,56.44893775589118,6.284987112813369,83.99694173585618,maize
50,60,85,19.77992754450617,19.300611985946023,7.949627472233375,66.18856476045072,chickpea
41,73,82,17.583688296140583,15.513962022463328,7.427261254610411,65.5510291082162,chickpea
41,74,75,19.238594733947657,15.048854237095918,6.81615327060998,80.53134930154134,chickpea
52,63,75,20.298056187587335,16.789006754641356,6.805236755548338,94.32399158944358,chickpea
45,68,84,20.20234679643633,16.00075122122405,6.4187064556476745,68.13703521003201,chickpea
30,57,85,17.126344579302568,19.68106123121845,6.129928209128681,81.23889005903212,chickpea
31,62,82,19.856347728529713,19.00864041534896,6.848625481357015,89.44475341239537,chickpea
26,65,78,19.212005810367835,17.98737931315965,7.959581383547155,79.42711494346955,chickpea
60,64,85,19.899306239496234,17.966393241550893,7.625735464683634,79.37836785728862,chickpea
38,77,78,19.977116262379823,19.359163894865606,7.084138334890972,66.30984973122084,chickpea
37,60,76,19.61305207694932,16.661573126775544,7.356196589298419,79.798305403514,chickpea
47,64,77,19.720912969725166,15.360992044895879,6.076631255514515,72.7304866553364,chickpea
31,71,79,19.908676279065233,18.713532605999905,7.063733336120189,75.37804977640889,chickpea
39,78,76,20.468125984489795,17.893377042861967,7.096538547973976,86.7577298124541,chickpea
55,56,76,20.171824378422528,18.275046694160544,8.48033329085168,73.51563585825934,chickpea
31,57,76,19.526240880370082,18.665565112076404,6.32891921281815,86.47474894046266,chickpea
49,77,84,17.95017329969551,19.856975470208198,6.452442381773724,90.63155280108737,chickpea
60,76,82,19.317659597374004,18.3131063950416,6.238153769886566,84.56369736591313,chickpea
44,79,76,20.431945015690822,15.045152020647752,7.471031583351514,82.96141940300322,chickpea
55,67,81,18.815158165534555,16.18025231673232,6.183741868325032,70.09273715262623,chickpea
29,64,83,18.723550094647223,16.243571362938148,7.542862466510075,86.20331650656337,chickpea
39,79,85,19.94560806026256,18.319022638109026,7.1865771893745345,90.32511346907592,chickpea
47,69,80,17.82336484014707,15.559598096988639,6.674374028792474,66.71260568267945,chickpea
56,74,84,17.15737416267404,15.610549570050134,7.130497570708588,93.01625052583715,chickpea
24,55,75,19.338682801770354,18.441039329332977,6.993447471161002,79.39691244776219,chickpea
53,79,76,20.892390992281385,17.90056114847734,6.635561449743733,80.6519013990864,chickpea
42,66,80,17.55860501902525,15.14986794936339,6.769824853977977,86.1404228820994,chickpea
27,72,79,17.375602863157674,18.36301059112563,7.109375548261427,91.04426763132517,chickpea
41,69,76,19.646529401484585,19.893156437002652,6.935741917849482,65.52547972586187,chickpea
37,71,84,20.47561993791487,17.85304873319415,6.075967649242092,92.92846086520933,chickpea
23,55,75,17.862700609590867,18.294427351163286,6.984661014135396,84.53698931124477,chickpea
45,56,76,19.419815690762164,16.590557768090598,8.166096668819113,94.80010812075885,chickpea
32,63,79,19.26806504394667,18.69224604625663,8.19628890325337,77.124209649531,chickpea
23,60,77,20.231383767765035,18.81142567388308,7.994534122146586,78.06749944438799,chickpea
30,55,82,18.187477098241125,18.245373293971966,6.8209530697127025,83.90626244987433,chickpea
26,69,79,18.521678816931193,17.742498608257385,7.491213687463554,81.3706066548642,chickpea
54,66,80,17.292783695073773,18.01724296690689,7.670531996387541,83.58471038028844,chickpea
28,57,79,20.453334598287302,17.59540892568109,7.197954694074328,65.76926197419307,chickpea
45,79,79,18.5952911235876,17.90086184613666,7.334006366817196,83.23715278380334,chickpea
42,60,76,19.8619636283971,17.60617066242667,8.055983547042645,77.92586274614101,chickpea
35,69,79,20.59212219579995,16.217411482881495,8.317586361990767,66.80802170868682,chickpea
40,67,80,17.778233292741206,15.83165803871571,7.543379393532436,80.69254173745354,chickpea
46,69,77,19.32372821305119,15.44813169577471,7.794089464771574,76.99715620412468,chickpea
32,58,84,17.48754437334779,15.905746747673401,7.702794634912457,70.44315043086881,chickpea
32,61,82,20.17362903259135,15.926142232737048,8.294381222928443,77.73582275589085,chickpea
26,76,75,18.49403873215355,17.632495970768904,6.280760861028048,65.07752044534948,chickpea
41,76,79,20.53682585339363,16.140398859744664,6.530112099770567,83.32942966552974,chickpea
27,78,75,17.94748223589793,18.90262757621931,6.68701508887034,89.67842955541035,chickpea
58,64,83,17.382141255338674,18.119296623382866,7.129419196843073,82.59825389526422,chickpea
54,66,76,18.891567862532728,17.676790509213305,6.44611491306943,74.36815358146389,chickpea
54,61,85,17.927788384463902,16.954529979527575,7.486190837965433,79.90300576577508,chickpea
21,57,81,19.780578216190374,17.02159384052146,7.070499037314037,86.52793296974528,chickpea
30,61,82,17.5135771578165,15.520548246920832,7.810847042821853,82.35160751019228,chickpea
58,67,78,17.34263299838572,19.47095437332059,6.479668311796857,74.70114686346562,chickpea
25,63,81,17.277695370984375,17.595298954541352,6.169031408980537,89.01069523467085,chickpea
46,75,82,20.52031635024583,18.25438684523597,7.3323944663783385,74.73001259346127,chickpea
22,76,80,17.209355503146032,16.892382117429346,6.90736067961498,94.86441472112772,chickpea
42,74,82,19.3219000268667,15.443836970538843,8.404164339887032,84.04880136773099,chickpea
35,64,83,20.287225775604348,15.006183398797047,6.752132770883137,94.43709123032912,chickpea
22,70,81,18.597263663237232,15.762080066652087,8.481208755395938,92.81002903772887,chickpea
20,79,79,17.37171657751756,16.285236332160398,7.969754970730662,90.9405857610062,chickpea
35,66,80,17.63721608247592,15.31554516539575,6.294122571183896,71.82071900288297,chickpea
21,63,79,18.385287074356015,16.195276660986327,7.274310616879245,89.7585832469869,chickpea
42,80,78,20.49334664689539,15.808821056760548,7.965689891892737,82.237621469533,chickpea
56,74,84,19.004611996728038,16.985893887146055,7.349331546899857,83.83850158317907,chickpea
49,78,84,20.472226760429802,19.029627000588107,7.9750760907676534,74.14037417294122,chickpea
28,69,79,17.09157529990448,15.768955748340156,6.559036086240778,93.71968663683762,chickpea
37,64,83,19.3006534019865,17.39677220068926,6.7843192279852405,83.19112833300127,chickpea
20,68,80,20.317329620565136,16.587657239383685,8.381993819003236,89.75602302246705,chickpea
32,75,76,17.272689237541975,15.129059534747435,6.337915722887057,93.89345334767522,chickpea
31,67,78,18.75804675453164,15.52832342130872,7.6020657867255155,71.48114547528799,chickpea
21,77,77,18.54584336463659,17.822205453394414,6.479456138979652,71.35266051996435,chickpea
30,72,82,18.189420192947356,17.151685887544605,6.426661896374996,67.23889443011245,chickpea
47,68,77,17.711065551404992,18.458090277846598,7.545129185717965,83.99568878040392,chickpea
59,71,79,19.460877752924045,16.53126810393306,7.559739590729096,80.81124391734954,chickpea
58,72,79,20.546416860961866,17.248923244106614,6.4865562795519125,76.03278052631869,chickpea
47,76,81,19.93445752224561,18.8465244682067,6.027578161071618,77.48461994539285,chickpea
46,75,80,20.161350943440592,17.91074114889986,7.702437068095612,70.69084544524031,chickpea
24,55,79,20.33721346381907,18.14649403005368,6.49714069443824,66.93850039532258,chickpea
51,58,75,17.438944794710014,17.739797444868465,7.135943336399903,90.33071248218847,chickpea
45,58,76,18.29870370756024,18.686785386938997,7.190045323421916,76.27664855437308,chickpea
48,60,84,20.140066175348228,19.46042344470117,8.38833671625982,88.60710158765886,chickpea
28,63,75,20.235533846545312,15.382084297190257,6.698419284836791,92.90956654513471,chickpea
59,75,85,18.98180841384393,16.93174454924158,7.125311081049399,71.80894083096092,chickpea
36,77,82,20.5298377618244,15.52846739953137,8.470688177500328,78.29819262330855,chickpea
27,67,82,17.339168064183212,18.58161694031341,6.1802108399966835,67.13770183295776,chickpea
43,71,79,19.034317157790312,16.937976157413846,7.15486734167739,94.74765226610822,chickpea
34,73,81,20.135370707070695,16.774206801284453,7.030327325656929,81.48848131156774,chickpea
51,62,84,17.08377984412365,15.410858337382138,8.419650087112576,73.86334332432261,chickpea
59,79,83,18.527758558611584,16.028436310977774,6.303466045398516,83.450389041166,chickpea
33,63,83,20.839306072303717,17.391276472879618,8.239536493429705,74.66646510333885,chickpea
55,66,85,20.919881317435404,18.00940794818161,7.456056645518116,87.44219538288596,chickpea
51,56,85,17.17494250351988,15.554039810899035,7.496328939210914,67.85035096976914,chickpea
59,68,84,19.4517583299781,19.71537918872354,6.601731779581263,68.64504128902755,chickpea
51,73,75,19.583243250620825,16.4295339461958,8.039867347421543,90.84109989090308,chickpea
31,63,76,19.5442830549193,16.105316857268644,8.44599319700149,87.44575717936993,chickpea
26,77,85,18.280239330083933,18.765936679567012,6.673328245755062,81.18668661486515,chickpea
32,72,76,17.526915093818246,18.629899549926478,8.044463324642363,71.40534098932015,chickpea
42,78,80,19.168948821967394,17.951738452293863,7.2709013672906995,73.92645353956462,chickpea
38,77,81,19.3086911331502,19.38569220755702,7.084501280636929,69.82544521873238,chickpea
35,70,22,17.46678864521623,23.085232005791035,5.995904975674682,68.92602896284943,kidneybeans
19,56,25,18.10928930007554,23.196436354007563,5.907559192240184,115.34804163070191,kidneybeans
11,63,23,20.542265141320165,18.03660729480039,5.880495380014047,63.17802194462152,kidneybeans
26,68,23,24.580734801193802,20.57558525911459,5.66346580816904,73.39992452992001,kidneybeans
32,60,22,20.02050213488447,18.872998398379732,5.692687941523681,117.90286619206059,kidneybeans
19,78,20,20.930443341867843,20.740679887244806,5.706310920424312,122.60563318471262,kidneybeans
30,64,20,16.66885117854871,19.26923495947854,5.693836797375197,96.20944122179003,kidneybeans
16,58,17,15.648535944829684,22.05988651199692,5.7807422939797615,110.45940849745539,kidneybeans
39,78,16,20.99368965662934,22.21501950836737,5.511466405634021,88.9897203806267,kidneybeans
40,68,17,15.585509292439792,20.339668230872427,5.8924484885557336,123.69128412668242,kidneybeans
40,58,17,19.401989979554905,19.03216768694399,5.664096376804656,99.06174295564878,kidneybeans
27,74,15,20.982252940637387,23.149641799674328,5.999173755696475,143.98019982092018,kidneybeans
22,55,15,21.375532644702297,21.473164688792536,5.589126233452321,121.73201439448773,kidneybeans
24,68,25,22.399863866856116,24.652189270514143,5.601468183787451,110.89949684292964,kidneybeans
19,72,17,15.261967085320649,18.169342347239485,5.915848521837887,84.57637289755311,kidneybeans
26,67,17,24.406792451153407,19.815077312060417,5.714828406369468,138.54572254361415,kidneybeans
38,59,18,23.026433097957103,21.207308207165248,5.741484436042677,72.01319751743495,kidneybeans
13,61,21,19.964611523552996,21.057954918306258,5.864754114326199,128.89616090919986,kidneybeans
31,68,23,22.513750860290457,22.598686093869976,5.978307310541729,66.20622147207791,kidneybeans
21,64,20,17.61705683735906,19.728851593504,5.953127290260518,82.45915798645555,kidneybeans
25,70,20,19.288868788610387,23.91352605400215,5.634069510047757,74.07436239631032,kidneybeans
13,78,25,15.626532034553545,24.345062173410877,5.569622685558798,107.91786140476954,kidneybeans
10,61,20,23.998333456872725,18.152763777428426,5.831894843087794,146.70549907921952,kidneybeans
24,70,21,18.934478465635916,23.795078627255208,5.8938565077638545,116.19829018245552,kidneybeans
14,80,19,17.56530062444248,22.57922221031852,5.59904881637987,110.8797229114449,kidneybeans
28,73,23,24.47035987738723,24.771493244517927,5.591507722117363,61.983164426775375,kidneybeans
30,58,24,15.888402450875644,22.786278739039297,5.77255276413035,148.24651398009954,kidneybeans
38,56,24,20.42545803395423,23.54189991917346,5.774419328360029,115.16101447757543,kidneybeans
23,60,16,19.84696287130047,19.16042178114293,5.972849073500141,136.49778343325957,kidneybeans
11,64,16,23.619869084042723,21.221135851419078,5.874641856347888,86.15288038257196,kidneybeans
24,62,20,23.064036172328393,21.214679143178707,5.525978288777134,130.76503794456298,kidneybeans
16,75,18,20.448477590845158,23.308975125083776,5.877053840158082,61.615111071164264,kidneybeans
